"","names","Freq"
"379","Zane Grey",15
"380","'Abdu'l-Baha",14
"381","Alfredo Oriani",14
"382","Anne Douglas Sedgwick",14
"383","Arthur Thomas Quiller-Couch",14
"384","Berthold Auerbach",14
"385","Colonel Prentiss Ingraham",14
"386","Cyril Arthur Edward Ranger Gull",14
"387","Dante Alighieri",14
"388","David Christie Murray",14
"389","David Cory",14
"390","Edgar Saltus",14
"391","Elizabeth Stuart Phelps",14
"392","F. S. Brereton",14
"393","Felix Dahn",14
"394","George Bird Grinnell",14
"395","Gordon Home",14
"396","H. Rider Haggard",14
"397","Harriet Pyne Grove",14
"398","Havelock Ellis",14
"399","Henry Hasse",14
"400","Ian Hay",14
"401","James D. Richardson",14
"402","Jean-Henri Fabre",14
"403","John Bloundelle-Burton",14
"404","Josephine Siebe",14
"405","Judith Gautier",14
"406","Kris Neville",14
"407","L. Onerva",14
"408","Marie Corelli",14
"409","Mrs. Oliphant",14
"410","Nelson S. Bond",14
"411","Pauline Lester",14
"412","Randall Parrish",14
"413","Robert Hichens",14
"414","Rolf Boldrewood",14
"415","S. R. Crockett",14
"416","Samuel Hopkins Adams",14
"417","Sydney C. Grier",14
"418","Voltaire",14
"419","W. D. Howells",14
"420","W. Somerset Maugham",14
"421","Warwick Deeping",14
"422","Wilbur Lawton",14
"423","William Fitzgerald Jenkins",14
"424","Alexandre Herculano",13
"425","Alfred Henry Lewis",13
"426","Anton Chekhov",13
"427","Benjamin Franklin",13
"428","Captain Frederick Marryat",13
"429","Cesare Cantù",13
"430","Charlotte M. Yonge",13
"431","Constance Fenimore Woolson",13
"432","Daniel Lesueur",13
"433","David Graham Phillips",13
"434","Denis Diderot",13
"435","E. W. Hornung",13
"436","Edmond Hamilton",13
"437","Edmund Burke",13
"438","Edward Sylvester Ellis",13
"439","Emile Zola",13
"440","Emilia Pardo Bazán",13
"441","Ernst Haeckel",13
"442","Ethel M. Dell",13
"443","Eugene Field",13
"444","Federico De Roberto",13
"445","Fox B. Holden",13
"446","Francis Beaumont and John Fletcher",13
"447","Francis Miltoun",13
"448","Gelett Burgess",13
"449","George A. Birmingham",13
"450","George Saintsbury",13
"451","Grace S. Richmond",13
"452","H. G. (Herbert George) Wells",13
"453","Herbert Spencer",13
"454","Herman Bang",13
"455","Herman Melville",13
"456","Horace Brown Fyfe",13
"457","Hulbert Footner",13
"458","Jackson Gregory",13
"459","Jane Austen",13
"460","Johan Ludvig Runeberg",13
"461","Juliana Horatia Ewing",13
"462","Lester del Rey",13
"463","Ludvig Holberg",13
"464","Mack Reynolds",13
"465","Maksim Gorky",13
"466","Marshall Saunders",13
"467","Max Brand",13
"468","Mor Jokai",13
"469","R. D. Blackmore",13
"470","Rainer Maria Rilke",13
"471","René Boylesve",13
"472","Richard Wilson",13
"473","Robert Bridges",13
"474","Robert Hugh Benson",13
"475","Samuel Johnson",13
"476","Samuel Merwin",13
"477","Stewart Edward White",13
"478","Sven Elvestad",13
"479","Thomas Tapper",13
"480","Vicente Blasco Ibáñez",13
"481","William E. Duellman",13
"482","William Hazlitt",13
"483","Winnifred Eaton",13
"484","Zona Gale",13
"485","Aldous Huxley",12
"486","Ann S. Stephens",12
"487","Ann Wilson",12
"488","Arthur Christopher Benson",12
"489","Arthur Stringer",12
"490","Arthur W. Marchmont",12
"491","Basil King",12
"492","C. N. Williamson",12
"493","Charles Egbert Craddock",12
"494","Charles L. Fontenay",12
"495","Christopher Morley",12
"496","Compton Mackenzie",12
"497","Cory Doctorow",12
"498","Dallas Lore Sharp",12
"499","David Hume",12
"500","Edith Nesbit",12
"501","Edward Eggleston",12
"502","Estelle M. Hurll",12
"503","Frances Elizabeth Barrow",12
"504","Franz Kafka",12
"505","Frederick W. Hamilton",12
"506","Frederik Pohl",12
"507","George Eliot",12
"508","George M. Baker",12
"509","George MacDonald",12
"510","Grace Brooks Hill",12
"511","Grace Livingston Hill",12
"512","Harold Frederic",12
"513","Hector Berlioz",12
"514","Heinrich Mann",12
"515","Horace Walpole",12
"516","Ida M. Tarbell",12
"517","J. W. Duffield",12
"518","Jack Sharkey",12
"519","Jacob A. Riis",12
"520","James De Mille",12
"521","James H. Schmitz",12
"522","Jerome K. Jerome",12
"523","Kálmán Mikszáth",12
"524","Marcus Tullius Cicero",12
"525","Marie Belloc Lowndes",12
"526","Marion Ames Taggart",12
"527","Mary Roberts Rinehart",12
"528","Mary Russell Mitford",12
"529","Owen Johnson",12
"530","Ralph Waldo Emerson",12
"531","Raymond F. Jones",12
"532","Richard Le Gallienne",12
"533","Robert Abernathy",12
"534","Robert E. Howard",12
"535","Robert Southey",12
"536","Rubén Darío",12
"537","Rupert Hughes",12
"538","Salvatore Farina",12
"539","Sam Vaknin",12
"540","Samuel Taylor Coleridge",12
"541","Selma Lagerlöf",12
"542","Sewell Ford",12
"543","Sir Arthur Thomas Quiller-Couch",12
"544","Susan Coolidge",12
"545","The President's Commission on the Assassination of President Kennedy",12
"546","Thomas A. Janvier",12
"547","Thomas Carlyle",12
"548","Viktor Rydberg",12
"549","Wilkie Collins",12
"550","William Harrison Ainsworth",12
"551","William Morris",12
